0	argument	We must [UNK] all [UNK] to [UNK] the [UNK] to [UNK] [UNK] . [UNK] of [UNK] and [UNK] are [UNK] to a [UNK] [UNK] of [UNK] . As soon as we [UNK] some [UNK] , it wo n't be long before [UNK] will be [UNK] to [UNK] the [UNK] [UNK] of the [UNK] . The [UNK] [UNK] we [UNK] , we will [UNK] no [UNK] [UNK] than the Germans did under Hitler .
1	not_argument	To [UNK] the [UNK] , you must first [UNK] the [UNK] in the [UNK] . [UNK] up the [UNK] [UNK] , [UNK] on ' [UNK] ' and [UNK] in 'D : [UNK] . ' . After the [UNK] is [UNK] , you will [UNK] to [UNK] the [UNK] to [UNK] the [UNK] .
2	argument	Roger Maris ' [UNK] of 61 [UNK] in a [UNK] [UNK] [UNK] from 1961 until 1998 . He should be [UNK] into the Baseball Hall of Fame .
3	not_argument	All of this [UNK] about [UNK] [UNK] [UNK] me [UNK] ! Is n't it [UNK] that if we [UNK] [UNK] , [UNK] - [UNK] [UNK] will not [UNK] them , while only the [UNK] will [UNK] them ?
4	argument	Two [UNK] [UNK] the [UNK] , Natural [UNK] Killers , and [UNK] out on a [UNK] [UNK] . A [UNK] of [UNK] who have [UNK] [UNK] at [UNK] have [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] with [UNK] and [UNK] . We must [UNK] some [UNK] [UNK] on the [UNK] of [UNK] that is [UNK] by [UNK] .
5	argument	Research has [UNK] that [UNK] who [UNK] at least 30 [UNK] a [UNK] of [UNK] [UNK] [UNK] their [UNK] of [UNK] [UNK] and some [UNK] of [UNK] . It would be [UNK] for you to [UNK] a [UNK] [UNK] of [UNK] .
6	argument	Carlos must be [UNK] [UNK] . He did not [UNK] up for [UNK] . And he has never [UNK] [UNK] unless he was [UNK] .
7	argument	Fayetteville , North Carolina is a [UNK] [UNK] to [UNK] . The [UNK] [UNK] [UNK] [UNK] [UNK] and [UNK] [UNK] , the [UNK] are [UNK] , and the [UNK] is never terribly [UNK]
8	not_argument	[UNK] U.S. [UNK] [UNK] the [UNK] of Fayetteville . Fayetteville , North Carolina [UNK] the [UNK] of being the [UNK] to be [UNK] after the Marquis de Lafayette , the [UNK] [UNK] who [UNK] the American Revolution , and the [UNK] Fayetteville that the [UNK] Marquis [UNK] .
9	argument	The United States , as the most [UNK] [UNK] in the [UNK] , [UNK] a [UNK] [UNK] to [UNK] [UNK] to [UNK] who are [UNK] to [UNK] [UNK] . The [UNK] Albanians were being [UNK] in Kosovo . It was [UNK] for the U.S. to [UNK] [UNK] in the [UNK] [UNK] against Kosovo .
10	not_argument	The United States [UNK] is [UNK] into three [UNK] , the [UNK] , [UNK] , and the [UNK] . This [UNK] is [UNK] to [UNK] [UNK] and [UNK] in the [UNK] of the [UNK] [UNK] .
11	argument	[UNK] should [UNK] [UNK] regularly and punctually . Our [UNK] [UNK] that there [UNK] a [UNK] [UNK] between [UNK] [UNK] and [UNK] [UNK] [UNK] .
12	argument	The [UNK] [UNK] we [UNK] from Bayview Tech [UNK] out to be a [UNK] [UNK] . I 'm not [UNK] to [UNK] anybody [UNK] from that [UNK] again .
13	argument	A [UNK] [UNK] [UNK] for its [UNK] , [UNK] for its [UNK] . No [UNK] [UNK] it as much as the [UNK] [UNK] which is [UNK] so rapidly and whose [UNK] [UNK] have [UNK] dangerously [UNK] . If we do not soon [UNK] [UNK] [UNK] , we are [UNK] toward a [UNK] [UNK] .
14	argument	[UNK] has always been a very [UNK] [UNK] for [UNK] and for [UNK] . The two [UNK] are [UNK] to each [UNK] , but this [UNK] has never [UNK] about a [UNK] of [UNK] between them . [UNK] have never [UNK] a [UNK] [UNK] [UNK] and [UNK] with the [UNK] [UNK] upon a [UNK] of [UNK] . A [UNK] is socially an [UNK] and [UNK] [UNK] . He is [UNK] first of all as a [UNK] whose [UNK] is [UNK] by the [UNK] he [UNK] for the [UNK] . The [UNK] and [UNK] [UNK] to which [UNK] is [UNK] has not [UNK] her an [UNK] [UNK] .
15	argument	Paul Kennedy 's The Rise and [UNK] of the Great Powers has [UNK] a [UNK] [UNK] in the United States since its [UNK] late [UNK] [UNK] . It has been widely and almost universally favorably [UNK] . Its [UNK] have been [UNK] in [UNK] and [UNK] [UNK] . One [UNK] [UNK] [UNK] [UNK] [UNK] as its [UNK] [UNK] , while another [UNK] it the ' [UNK] of the [UNK] ' .
16	argument	Television [UNK] a [UNK] [UNK] on [UNK] . It [UNK] to be [UNK] the [UNK] [UNK] of the [UNK] . It also [UNK] to be [UNK] their [UNK] [UNK] and [UNK] to [UNK] [UNK] [UNK] . Television also [UNK] them to be increasingly [UNK] with [UNK] [UNK] . Even more [UNK] , [UNK] is [UNK] all of [UNK] 's [UNK] and [UNK] , thus [UNK] the [UNK] [UNK] between [UNK] and [UNK] ....
17	not_argument	In one [UNK] of all [UNK] [UNK] in the United States , the [UNK] has been [UNK] . One [UNK] of [UNK] [UNK] and [UNK] by [UNK] were [UNK] . [UNK] while [UNK] , or [UNK] , is [UNK] in every [UNK] . In [UNK] [UNK] , it is [UNK] to [UNK] a [UNK] if the [UNK] [UNK] [UNK] is 0.1 [UNK] or [UNK] . In [UNK] [UNK] , it is [UNK] to [UNK] [UNK] while [UNK] . In some , it is against the [UNK] to [UNK] an [UNK] [UNK] of any [UNK] [UNK] inthe [UNK] .
18	argument	[UNK] [UNK] that even one [UNK] [UNK] [UNK] and [UNK] . A [UNK] with a [UNK] [UNK] [UNK] ( [UNK] ) of 0.05 [UNK] , even though he or she is within the [UNK] [UNK] , is twice as [UNK] to [UNK] an [UNK] as a [UNK] [UNK] [UNK] . A [UNK] of 0.1 [UNK] [UNK] the [UNK] of being in an [UNK] by seven [UNK] . At [UNK] 0.15 , the [UNK] is ten [UNK] [UNK] . You should never [UNK] and [UNK] .
